startDate (format: mm/dd/yy),endDate (format: mm/dd/yy),Temperature (any unit),Energy,"Units (any, must be consistent)"
01/01/09,02/01/09,1,1.7239191,kBtu
02/01/09,03/01/09,2,4.2878656,kBtu
03/01/09,04/01/09,3,3.27346038,kBtu
04/01/09,05/01/09,4,2.66136032,kBtu
05/01/09,06/01/09,5,-1.14927723,kBtu
06/01/09,07/01/09,6,5.43659812,kBtu
07/01/09,08/01/09,7,8.65423904,kBtu
08/01/09,09/01/09,8,4.91615703,kBtu
09/01/09,10/01/09,9,0.69629976,kBtu
10/01/09,11/01/09,10,0.02794051,kBtu
11/01/09,12/01/09,11,6.32820731,kBtu
12/01/09,01/01/10,12,5.26899847,kBtu
01/01/10,02/01/10,13,10.72214919,kBtu
02/01/10,03/01/10,14,7.58576613,kBtu
03/01/10,04/01/10,15,4.46930104,kBtu
04/01/10,05/01/10,16,6.21018625,kBtu
05/01/10,06/01/10,17,0.18709438,kBtu
06/01/10,07/01/10,18,6.7731688,kBtu
07/01/10,08/01/10,19,-0.86813205,kBtu
08/01/10,09/01/10,20,6.2294853,kBtu
09/01/10,10/01/10,21,7.85343624,kBtu
10/01/10,11/01/10,22,1.4705015,kBtu
11/01/10,12/01/10,23,2.20744778,kBtu
12/01/10,01/01/11,24,1.01744464,kBtu
01/01/11,02/01/11,25,0.04188748,kBtu
02/01/11,03/01/11,26,6.64326685,kBtu
03/01/11,04/01/11,27,-3.53320882,kBtu
04/01/11,05/01/11,28,5.20247412,kBtu
05/01/11,06/01/11,29,10.15547056,kBtu
06/01/11,07/01/11,30,2.77228798,kBtu
07/01/11,08/01/11,31,5.48406741,kBtu
08/01/11,09/01/11,32,5.74890377,kBtu
09/01/11,10/01/11,33,5.98693697,kBtu
10/01/11,11/01/11,34,1.33577526,kBtu
11/01/11,12/01/11,35,4.02821054,kBtu
12/01/11,01/01/12,36,7.90823629,kBtu
01/01/12,02/01/12,37,-0.70376173,kBtu
02/01/12,03/01/12,38,8.96453582,kBtu
03/01/12,04/01/12,39,12.87977652,kBtu
04/01/12,05/01/12,40,9.00326366,kBtu
05/01/12,06/01/12,41,10.3964663,kBtu
06/01/12,07/01/12,42,14.48171111,kBtu
07/01/12,08/01/12,43,13.74171532,kBtu
08/01/12,09/01/12,44,19.33860527,kBtu
09/01/12,10/01/12,45,17.16899707,kBtu
10/01/12,11/01/12,46,20.70187621,kBtu
11/01/12,12/01/12,47,20.85317312,kBtu
12/01/12,01/01/13,48,21.06441003,kBtu
01/01/13,02/01/13,49,27.70659371,kBtu
02/01/13,03/01/13,50,27.57895917,kBtu
03/01/13,04/01/13,51,25.26440881,kBtu
04/01/13,05/01/13,52,28.69244133,kBtu
05/01/13,06/01/13,53,30.7489612,kBtu
06/01/13,07/01/13,54,30.79223138,kBtu
07/01/13,08/01/13,55,31.75451881,kBtu
08/01/13,09/01/13,56,38.82941154,kBtu
09/01/13,10/01/13,57,32.13396637,kBtu
10/01/13,11/01/13,58,36.6687221,kBtu
11/01/13,12/01/13,59,37.04588465,kBtu
12/01/13,01/01/14,60,41.49368898,kBtu
01/01/14,02/01/14,61,38.68815784,kBtu
02/01/14,03/01/14,62,42.75642698,kBtu
03/01/14,04/01/14,63,42.39840343,kBtu
04/01/14,05/01/14,64,42.99214444,kBtu
05/01/14,06/01/14,65,48.09226953,kBtu
06/01/14,07/01/14,66,48.63483939,kBtu
07/01/14,08/01/14,67,48.49687544,kBtu
08/01/14,09/01/14,68,50.41330169,kBtu
09/01/14,10/01/14,69,52.4110024,kBtu
10/01/14,11/01/14,70,56.75985412,kBtu
11/01/14,12/01/14,71,56.61008613,kBtu
12/01/14,01/01/15,72,55.72858939,kBtu
01/01/15,02/01/15,73,53.77154723,kBtu
02/01/15,03/01/15,74,59.65604798,kBtu
03/01/15,04/01/15,75,51.79574223,kBtu
04/01/15,05/01/15,76,58.05488645,kBtu
05/01/15,06/01/15,77,52.15339319,kBtu
06/01/15,07/01/15,78,53.49587852,kBtu
07/01/15,08/01/15,79,56.77761065,kBtu
08/01/15,09/01/15,80,56.42431531,kBtu
09/01/15,10/01/15,81,56.7140531,kBtu
10/01/15,11/01/15,82,54.64947111,kBtu
11/01/15,12/01/15,83,57.85813668,kBtu
12/01/15,01/01/16,84,56.54413091,kBtu
01/01/16,02/01/16,85,56.99742811,kBtu
02/01/16,03/01/16,86,53.63121477,kBtu
03/01/16,04/01/16,87,56.52490289,kBtu
04/01/16,05/01/16,88,56.60286959,kBtu
05/01/16,06/01/16,89,50.75918551,kBtu
06/01/16,07/01/16,90,54.72055407,kBtu
07/01/16,08/01/16,91,53.79721513,kBtu
08/01/16,09/01/16,92,56.0811964,kBtu
09/01/16,10/01/16,93,55.67949141,kBtu
10/01/16,11/01/16,94,56.55870633,kBtu
11/01/16,12/01/16,95,52.91268638,kBtu
12/01/16,01/01/17,96,50.17357767,kBtu
01/01/17,02/01/17,97,54.63292298,kBtu
02/01/17,03/01/17,98,55.996081,kBtu
03/01/17,04/01/17,99,60.8370713,kBtu
04/01/17,05/01/17,100,54.34227929,kBtu
